file_path,manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
004_writing_multiple_files/car_data_01/hyundai.csv,hyundai,sonata,2.4,1999,4,auto(l4),f,18,26,r,midsize
004_writing_multiple_files/car_data_01/hyundai.csv,hyundai,sonata,2.4,1999,4,manual(m5),f,18,27,r,midsize
004_writing_multiple_files/car_data_01/hyundai.csv,hyundai,sonata,2.4,2008,4,auto(l4),f,21,30,r,midsize
004_writing_multiple_files/car_data_01/hyundai.csv,hyundai,sonata,2.4,2008,4,manual(m5),f,21,31,r,midsize
004_writing_multiple_files/car_data_01/hyundai.csv,hyundai,sonata,2.5,1999,6,auto(l4),f,18,26,r,midsize
004_writing_multiple_files/car_data_01/hyundai.csv,hyundai,sonata,2.5,1999,6,manual(m5),f,18,26,r,midsize
004_writing_multiple_files/car_data_01/hyundai.csv,hyundai,sonata,3.3,2008,6,auto(l5),f,19,28,r,midsize
004_writing_multiple_files/car_data_01/hyundai.csv,hyundai,tiburon,2,1999,4,auto(l4),f,19,26,r,subcompact
004_writing_multiple_files/car_data_01/hyundai.csv,hyundai,tiburon,2,1999,4,manual(m5),f,19,29,r,subcompact
004_writing_multiple_files/car_data_01/hyundai.csv,hyundai,tiburon,2,2008,4,manual(m5),f,20,28,r,subcompact
004_writing_multiple_files/car_data_01/hyundai.csv,hyundai,tiburon,2,2008,4,auto(l4),f,20,27,r,subcompact
004_writing_multiple_files/car_data_01/hyundai.csv,hyundai,tiburon,2.7,2008,6,auto(l4),f,17,24,r,subcompact
004_writing_multiple_files/car_data_01/hyundai.csv,hyundai,tiburon,2.7,2008,6,manual(m6),f,16,24,r,subcompact
004_writing_multiple_files/car_data_01/hyundai.csv,hyundai,tiburon,2.7,2008,6,manual(m5),f,17,24,r,subcompact
