customerID,tenure,Contract,gender,Churn
7590-VHVEG,1,Month-to-month,Female,No
5575-GNVDE,34,One year,Male,No
3668-QPYBK,2,Month-to-month,Male,Yes
7795-CFOCW,45,One year,Male,No
9237-HQITU,2,Month-to-month,Female,Yes
9305-CDSKC,8,Month-to-month,Female,Yes
1452-KIOVK,22,Month-to-month,Male,No
6713-OKOMC,10,Month-to-month,Female,No
7892-POOKP,28,Month-to-month,Female,Yes
6388-TABGU,62,One year,Male,No
9763-GRSKD,13,Month-to-month,Male,No
7469-LKBCI,16,Two year,Male,No
8091-TTVAX,58,One year,Male,No
0280-XJGEX,49,Month-to-month,Male,Yes
5129-JLPIS,25,Month-to-month,Male,No
3655-SNQYZ,69,Two year,Female,No
8191-XWSZG,52,One year,Female,No
9959-WOFKT,71,Two year,Male,No
4190-MFLUW,10,Month-to-month,Female,Yes
4183-MYFRB,21,Month-to-month,Female,No
8779-QRDMV,1,Month-to-month,Male,Yes
1680-VDCWW,12,One year,Male,No
1066-JKSGK,1,Month-to-month,Male,Yes
3638-WEABW,58,Two year,Female,No
6322-HRPFA,49,Month-to-month,Male,No
6865-JZNKO,30,Month-to-month,Female,No
6467-CHFZW,47,Month-to-month,Male,Yes
8665-UTDHZ,1,Month-to-month,Male,Yes
5248-YGIJN,72,Two year,Male,No
8773-HHUOZ,17,Month-to-month,Female,Yes
3841-NFECX,71,Two year,Female,No
4929-XIHVW,2,Month-to-month,Male,No
6827-IEAUQ,27,One year,Female,No
7310-EGVHZ,1,Month-to-month,Male,No
3413-BMNZE,1,Month-to-month,Male,No
6234-RAAPL,72,Two year,Female,No
6047-YHPVI,5,Month-to-month,Male,Yes
6572-ADKRS,46,Month-to-month,Female,No
5380-WJKOV,34,Month-to-month,Male,Yes
8168-UQWWF,11,Month-to-month,Female,Yes
8865-TNMNX,10,One year,Male,No
9489-DEDVP,70,Two year,Female,No
9867-JCZSP,17,One year,Female,No
4671-VJLCL,63,Two year,Female,No
4080-IIARD,13,Month-to-month,Female,No
3714-NTNFO,49,Month-to-month,Female,No
5948-UJZLF,2,Month-to-month,Male,No
7760-OYPDY,2,Month-to-month,Female,Yes
7639-LIAYI,52,Two year,Male,No
2954-PIBKO,69,Two year,Female,No
8012-SOUDQ,43,Month-to-month,Female,No
9420-LOJKX,15,Month-to-month,Female,Yes
6575-SUVOI,25,Month-to-month,Female,No
7495-OOKFY,8,Month-to-month,Female,Yes
4667-QONEA,60,One year,Female,No
1658-BYGOY,18,Month-to-month,Male,Yes
8769-KKTPH,63,One year,Female,No
5067-XJQFU,66,One year,Male,No
3957-SQXML,34,Two year,Female,No
5954-BDFSG,72,Two year,Female,No
0434-CSFON,47,Month-to-month,Female,No
1215-FIGMP,60,Month-to-month,Male,No
0526-SXDJP,72,Two year,Male,No
0557-ASKVU,18,One year,Female,No
5698-BQJOH,9,Month-to-month,Female,Yes
5122-CYFXA,3,Month-to-month,Female,No
8627-ZYGSZ,47,One year,Male,No
3410-YOQBQ,31,Two year,Female,No
3170-NMYVV,50,Two year,Female,No
7410-OIEDU,10,Month-to-month,Male,No
2273-QCKXA,1,Month-to-month,Male,No
0731-EBJQB,52,One year,Female,No
