company,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Apple Inc. (AAPL),0.1869613017538496,-0.3516516108248281,0.3502908384754948,-0.1841029168056496,0.19486912580451632,-0.24463595687105133,0.8409190611868387,1.0844473808844173,-0.03351951582363111,-0.11562392670359334,0.2350104590333526,0.32331318932745057,0.06911515077103103,-0.5044283394769267,0.3521139527283341,-0.17336190773163196,-0.3450974097195071,-0.371255282615366,2.119031507622812,1.5114538442777703,-0.7106384323465992,0.4722674610633746,-0.34566106704404576,0.4912758715112433,2.013572890544976,1.2326076966988748,0.1801362825443631,1.3347474556978725,-0.5691134226927439,1.4690108515253368,0.5306786004825854,0.2555805021096629,0.3256693140850597,0.08069439019529234,0.4062252921130301,-0.0301367308396151,0.12480409191071318,0.484643407934695,-0.05390196517212464,0.8895780024824276,0.8230676385404077,0.3464817974343444,-0.26404200354362584,0.4900805500400083,0.20650357555206875
Microsoft Corporation (MSFT),NA,NA,NA,NA,NA,NA,0.7232196505903545,1.2487016788091423,-0.01843224528994325,0.6338018946002482,0.7298847149393775,1.2176066994213666,0.15112436767117732,-0.05563747354111059,0.5162797464596378,0.4355831083423371,0.8831907026123205,0.5642961484166964,1.1460343061978024,0.6836415674931546,-0.6284795501001905,0.5273771660578954,-0.21962242760596573,0.06816430073320467,0.09128136474265448,-0.00938217680011632,0.15839279242905757,0.20842904535428008,-0.4438559491426348,0.6046721019933081,-0.06524651185632058,-0.04515667846968929,0.05798849960978525,0.4429796195964893,0.2756466366662498,0.22691875311757825,0.150777060066283,0.4073060691784316,0.2079532876594803,0.5755808996492238,0.425340564766139,0.5247691478643628,-0.2802475471835546,0.5819127484529685,0.14479831704365398
NVIDIA Corporation (NVDA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.384093039137472,0.39614042080650025,3.08356143125216,-0.8279515512402018,1.0156278174133626,0.01551715458857594,0.551786751070998,1.0246149212361555,0.3788163369676314,-0.7627865051859488,1.3147458334296358,-0.1755885897503695,-0.099999881838033,-0.1097335344837368,0.3352379585990233,0.2739576523217002,0.6711562852068991,2.269601432844599,0.8198790804105387,-0.30815245464132746,0.7694304113086012,1.2229568167128324,1.2548206587451878,-0.5026463934558695,2.3901717978963823,1.8587368471335863
Alphabet Inc. (Class A) (GOOGL),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9213676316837504,1.1518750603767511,0.10996479239965962,0.501650316706163,-0.5550847129882126,1.015212109038969,-0.04195301496972481,0.08742875291667795,0.09518502610107582,0.5843109967803426,-0.05394016016358061,0.4661176069912938,0.01856032395286666,0.32929504130141596,-0.00801211353791686,0.28176200418820074,0.3085360052854309,0.6529578151206377,-0.3908955556918987,0.5832482512445043,0.18604942493581156
Alphabet Inc. (Class C) (GOOG),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9213673405605194,1.1518748752530406,0.10996477473669874,0.5016504582772483,-0.5550847575232856,1.0152122379620363,-0.04195294875008726,0.08742860233672078,0.09518492775561271,0.5843113009275147,-0.05965613979086448,0.4455993382753858,0.01705147854999955,0.35575650123825553,-0.0103116014049055,0.2910458866470129,0.31028719476003874,0.6517056018971457,-0.3867133943607054,0.5883014720129969,0.1878244879556452
"Amazon.com, Inc. (AMZN)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5638246025379168,9.663884632315128,0.4217900877232044,-0.7955665107171693,-0.3047389341413955,0.7458410611874171,1.7856008056503057,-0.15830485933485294,0.06457445431805175,-0.16309650657883557,1.3476937927307593,-0.4464594326049557,1.623244975565349,0.3380910235792649,-0.038333363003201,0.4492779126046438,0.5896281654730438,-0.22177089223200863,1.1778313909946103,0.10945572452950514,0.5595636491351448,0.2843168959316702,0.23027749504206452,0.7625606069163975,0.02376777356875381,-0.4961521476592685,0.8088095528738839,0.23621165468579597
"Tesla, Inc. (TSLA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11469193823263456,0.07247485038347645,0.18592428832869712,3.4413941131092427,0.4784948772420981,0.07913318504879152,-0.1096621296709317,0.45701711084217744,0.0688935444900336,0.2570011888547681,7.434369946079432,0.4975555924013577,-0.6503151169866452,1.0172105464518206,0.08334677668207924
"Meta Platforms, Inc. (META)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3036882078512907,1.052967763764412,0.42763012066092343,0.3414510993484503,0.09927382957598983,0.5337678830391324,-0.2571121118829104,0.5657181718148465,0.33086489072123126,0.23132958420840424,-0.6422179479292405,1.9413329831668928,0.6244095337980502
Johnson & Johnson (JNJ),0.33633574638248387,0.1451357621363023,0.36879073551525465,-0.15670493753921022,-0.08539351372720594,0.49841539343203256,0.2742743438655564,0.16270623593616484,0.16506364944415064,0.42639393149628657,0.2340544539441174,0.6231454642062533,-0.10189098551694108,-0.08966851738521053,0.2505143636606999,0.5912331345692621,0.1810366584600347,0.34293335774696065,0.2898076399754894,0.12473594420769318,0.1424759364198045,0.1400189522350328,-0.07879402718624084,-0.02075308643491358,0.251680939130708,-0.03360958322488494,0.12434689555632517,0.03611880034941284,-0.07717225416978446,0.1126908223760743,-0.00586965604946787,0.09889429500638693,0.10847403247307286,0.34624404161722055,0.17337336835427686,0.01142159965539568,0.1532917294241389,0.24425250159394363,-0.05131481854867859,0.16220030631894167,0.10823697740579076,0.11438089221347104,0.05974879891470608,-0.0857837301460792,0.05047953626561496
Procter & Gamble Co. (PG),-0.02491809222380303,0.23182680760436705,0.542431971085733,-0.00238418099035764,0.05121688650326095,0.2825115253093591,0.13611717087613528,0.15288789044894058,0.05548698141092312,0.66776143352469,0.2635688336067743,0.1103218812410045,0.16740767328539818,0.0878378341450512,0.1132830768161921,0.3679341383783352,0.32181156395874266,0.5048202639197359,0.1588961228755008,0.21565464991070904,-0.27093469534819825,0.03107676601662623,0.11499932121507594,0.18479777357301796,0.1237856321872952,0.07187888995316838,0.13383423246380644,0.16642671987192958,-0.13809865044632752,0.01178232638215326,0.09364008857035722,0.07063476776723765,0.05203605343232143,0.23646337901731207,0.1542388213677801,-0.09969501919041455,0.09360249692920952,0.12695268262505444,0.03569520895514921,0.39700486660662904,0.1415253412090749,0.2052205443392532,-0.05047991746751701,-0.0085765884876432,0.17652458826048
Visa Inc. (V),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.06852251153639344,0.6786057354831596,-0.18991754615047615,0.4540807083259941,0.5046694135548493,0.480563700714977,0.1863583279838581,0.19137354242529625,0.01371200891001356,0.4717650465631591,0.16487582674167833,0.4332700246790024,0.17124198021790593,-0.00314907545106213,-0.0340474205911141,0.26307993975059984,0.08832245941688877
UnitedHealth Group Inc. (UNH),NA,NA,NA,NA,-0.1891840622229385,1.7333256947240463,-0.1829273404794446,-0.5671656341085676,0.2413820675422782,1.6944426330224935,0.918368914555771,2.204755167392666,0.5274334050162222,0.3342661204082955,0.19022589750363728,0.44966295695585656,-0.31157422418897296,0.1048629365976812,-0.13293880175939388,0.23386346241645103,1.311832061549775,0.15369285091478657,0.18035443896631853,0.3939983216824172,0.5137813651483254,0.4122467764151818,-0.13487625767648737,0.08378742580326626,-0.5425566755734081,0.14754133571026817,0.1991069736537341,0.42189080916040855,0.08602560821008365,0.41043192334585576,0.3645605835987928,0.18271281649842397,0.3840826127008983,0.3983499889418909,0.14523926846845492,0.20003063879142124,0.21250188371223877,0.4520364449805081,0.06936276342753533,0.00795232647610055,0.08497799898630998
JPMorgan Chase & Co. (JPM),0.25367723274551635,0.27859120940267545,0.11467917424664952,0.08641950558930311,0.27514328445239133,0.3981718058924837,-0.01729838208351919,-0.4543206832301162,0.5883529803034908,0.04397055738731814,-0.6029113196566274,1.075911153875114,0.8810688869602759,0.07349664356920327,-0.06493316465888654,0.6880878947318239,0.5612172503531268,0.2554333083252085,0.3291628459832705,0.11678176442685516,-0.1007614480241834,-0.1733895216304484,-0.3077389138247608,0.6057538201390806,0.0995200174549158,0.05724682155773086,0.2563919082092099,-0.06876103632120734,-0.2514211306529701,0.34369299991049673,0.02307532168250081,-0.1991801847118918,0.3618062626359944,0.36733321252292805,0.09882810147741994,0.08372556426412014,0.34536362549778343,0.2675877617592066,-0.06623806799990051,0.4725709272381473,-0.05534808994867768,0.2774577312922093,-0.1264124729013565,0.30626729012911635,0.3381458662968053
Exxon Mobil Corporation (XOM),0.6203180163979172,-0.15379510579563338,0.08360252403406965,0.3735632863588956,0.30634416368960626,0.31009477074002834,0.3504963930516529,0.13540136725632523,0.212078462753035,0.19619926771848897,0.08837055634618274,0.23270551932667935,0.05238264643917723,0.08030507525130037,0.00839820536115754,0.3942042053099237,0.25391878282384184,0.28438133556826917,0.2240459895370912,0.12587025791682538,0.10237319540065416,-0.0759696419842264,-0.08873173170526416,0.2064158724090508,0.2806229609325228,0.1178631603432585,0.3907962696193024,0.2428793819241359,-0.13107603737476814,-0.12604964453077405,0.10128966521931092,0.186676025390625,0.04701310662627733,0.20118415103759224,-0.06055939997220461,-0.12791798061346604,0.19882084050031756,-0.03806888948429576,-0.15093320474633498,0.07232876468705163,-0.36211041598656835,0.5757554517901731,0.8740909013722304,-0.06261538070993744,0.2258340704975832
